topic,question
Growth,What part of yourself are you still working on even when it's uncomfortable?
Growth,Is there a fear you've faced that made you permanently larger in some way?
Growth,What does your relationship with failure say about you?
Growth,Where in your life are you playing it safe when you know you should be taking the leap?
Growth,What would it take for you to make the change you've been thinking about for years?
Growth,What's a compliment you received that finally landed differently once you were ready to hear it?
Growth,What's the most important thing you've learned in the last year?
Imagination,If you could design your ideal city from scratch what would be different about it?
Imagination,What would the world look like if empathy were humanity's dominant trait?
Imagination,If animals could vote which species would run for office first and what would their platform be?
Imagination,What would you do on the first day if you woke up with a completely different identity?
Imagination,If you could live inside any fictional universe for a year which would you choose?
Imagination,What would you invent if you had unlimited resources and the world's best engineers on your team?
Imagination,If your subconscious wrote a novel what would it be about?
Imagination,What would a utopia designed around your values look like?
Imagination,If you could design a new sense what information would it detect?
Imagination,What would you do if you could be invisible for exactly 24 hours?
Imagination,If parallel universes exist what do you imagine the most different version of your life looks like?
Imagination,What would you name a country if you founded one and what would its national sport be?
Imagination,If you could bottle a feeling and sell it what would you bottle?
Imagination,What would the theme park of your childhood imagination look like?
Imagination,If you could communicate with one historical era for one hour what would you ask them?
Fun & Light,What's the most committed you've ever been to a bit that everyone else had already abandoned?
Fun & Light,If your life had a theme song playing every time you entered a room what would it be?
Fun & Light,What's the most absurd hill you would die on?
Fun & Light,If you had to survive a zombie apocalypse using only what's in your kitchen right now how would you do it?
Fun & Light,What's the strangest compliment you've ever received that you still think about?
Fun & Light,If you had to eat one cuisine for the rest of your life and you could only eat that what would you pick?
Fun & Light,What's a skill you have that would be completely useless in a survival situation but delightful otherwise?
Fun & Light,If you could instantly become fluent in one skill that isn't a language what would it be?
Fun & Light,What fictional world's food would you most want to try in real life?
Fun & Light,What's the dumbest argument you've ever won that you're still quietly proud of?
Fun & Light,If you could switch bodies with any animal for a week which would you choose and what would you do?
Fun & Light,What's the most dramatic thing that has ever happened to you that sounds ridiculous out of context?
Fun & Light,If your life were a Netflix reality show what would it be called?
Fun & Light,What's the worst advice you ever took that somehow worked out anyway?
Fun & Light,If you could add one rule to any existing sport what would it be?
Fun & Light,What's the most niche interest you have that you're always slightly surprised other people don't share?
Fun & Light,If you could only communicate through movie quotes for a day which five quotes would you memorize?
Fun & Light,What's the most elaborate lie you ever told as a child and how did it end?
Fun & Light,If your personality were a snack what would it be and why?
Fun & Light,What's the weirdest food combination you enjoy that you know is objectively wrong but you'll defend anyway?
Meaning & Purpose,What are you actually living for when you strip away the noise?
Meaning & Purpose,Does your daily life reflect your values — and if not what would have to change?
Meaning & Purpose,What is something that matters so much to you that you'd sacrifice comfort to protect it?
Meaning & Purpose,What do you think happens after we die — and does your answer affect how you live today?
Meaning & Purpose,If your life right now were the only evidence someone had of what you care about what would they conclude?
Meaning & Purpose,What would make your life feel meaningful that you haven't yet pursued?
Meaning & Purpose,Is legacy something you think about — and if so what do you want yours to be?
Meaning & Purpose,What gives you the deepest sense of purpose and how much of your week goes toward it?
Meaning & Purpose,What would you be doing if you weren't doing what you're doing now — and is that calling you?
Meaning & Purpose,What would you be willing to fail publicly at if you believed it mattered enough?
Meaning & Purpose,If you removed money as a factor entirely what would you spend your life doing?
Meaning & Purpose,What's the thing you keep coming back to no matter how many times you try to put it down?
Meaning & Purpose,Is there something you know you're meant to do that you keep deferring?
Meaning & Purpose,What story do you want the arc of your life to tell?
Meaning & Purpose,What would you want said about you at your funeral that isn't being said yet?
Curiosity,What's a subject you know almost nothing about that secretly fascinates you?
Curiosity,What's the most interesting thing you've learned in the past month?
Curiosity,If you could ask any living person one completely honest question what would it be?
Curiosity,What question do you find yourself asking over and over throughout your life?
Curiosity,What topic could you spend a day reading about without ever getting bored?
Curiosity,What's something you changed your mind about after genuinely engaging with the opposing view?
Curiosity,If you could sit in on any conversation happening anywhere in the world right now whose would you listen to?
Curiosity,What is the most interesting thing about the place you grew up that outsiders never know?
Curiosity,What would you study if you went back to school with no practical concerns at all?
Curiosity,What human behavior do you find most baffling and most fascinating simultaneously?
Curiosity,If you could know the answer to any historical mystery which would you solve?
Curiosity,What's a rabbit hole you went down recently that consumed far more time than you expected?
Curiosity,What would you ask the smartest person in any field you chose if you had an hour with them?
Curiosity,What's something most people accept as true that you're genuinely not sure about?
Curiosity,What question keeps you up at night that has nothing to do with your personal life?
Deep Dives,If you had to teach something to a room full of strangers tomorrow what would you choose and why?
Deep Dives,What's a chapter of your life that most people would find surprising given who you are today?
Deep Dives,If you had to leave your current life completely and start over somewhere new what would you take with you?
Deep Dives,What does home mean to you — and is that what home actually feels like right now?
Deep Dives,What's the most significant thing that's happened to you that very few people know about?
Deep Dives,What would you do if you discovered that a core belief you've held for years was wrong?
Deep Dives,When was the last time you did something for the first time and how did it feel?
Deep Dives,What are you carrying that you haven't told anyone about?
Deep Dives,What's the most alive you've ever felt?
Deep Dives,What would your life look like if you were fully courageous all the time?
Deep Dives,Is there something you've been grieving that other people don't realize is a loss?
Deep Dives,What's the most important decision you've made entirely on instinct?
Deep Dives,What do you think is the most underrated key to a good life?
Deep Dives,Where in your life are you operating on autopilot when you know you need to be more intentional?
Deep Dives,What truth have you been circling around for years that you haven't fully admitted to yourself yet?
Hypotheticals,If you could know exactly how people think about you would you want to — and what are you afraid you'd find?
Hypotheticals,If a genie granted you three wishes but they could only benefit other people what would you wish for?
Hypotheticals,If you could only speak to one person for the rest of your life who would you choose?
Hypotheticals,If you had to give up one of your five senses permanently which would you sacrifice?
Hypotheticals,If you could experience one other person's life for a week whose would you choose and why?
Hypotheticals,If you could go back and change one decision what would it be — and are you sure you'd actually change it?
Hypotheticals,If you had to describe your current decade of life as a season of the year which would it be?
Hypotheticals,If a documentary were made about your life right now what would the central conflict be?
Hypotheticals,If you could add one subject to every school curriculum in the world what would it be?
Hypotheticals,If you had to choose between knowing the date of your death or the cause of it which would you pick?
Hypotheticals,If you could only read books from one genre for the rest of your life which would you choose?
Hypotheticals,If money wasn't real for one week and you could do anything with your time how would you spend it?
Hypotheticals,If you could make everyone in the world read one book which would you choose?
Hypotheticals,If you could design your ideal day down to every detail what would it look like?
Hypotheticals,If you had to live the same day on repeat for a year which day would you choose?
Emotional Intelligence,When did you last feel genuinely proud of yourself — not for what you accomplished but for who you were?
Emotional Intelligence,What emotion are you most uncomfortable sitting with and what do you usually do to avoid it?
Emotional Intelligence,Is there someone you need to forgive — including yourself — and what's standing in the way?
Emotional Intelligence,What does it mean to you to feel safe with someone?
Emotional Intelligence,When do you feel most understood and what creates that feeling?
Emotional Intelligence,What's something you're ashamed of that you've been afraid to say out loud?
Emotional Intelligence,How do you recover when life genuinely breaks your heart?
Emotional Intelligence,What does your anger usually be pointing at beneath the surface?
Emotional Intelligence,What are you most afraid people will find out about you?
Emotional Intelligence,What's the kindest thing you could do for yourself right now that you keep putting off?
Emotional Intelligence,How has your relationship with your own vulnerability changed over time?
Emotional Intelligence,Is there a version of a past moment where you wish you'd been braver — what held you back?
Emotional Intelligence,What do you need right now that you haven't asked for?
Emotional Intelligence,What emotion is currently living rent-free in your body that you haven't addressed?
Emotional Intelligence,What would you say to yourself if you spoke to yourself the way you speak to people you love?
Connection,What's the best conversation you've had with a stranger and what made it happen?
Connection,What's a question that almost always leads to a great conversation for you?
Connection,Is there someone in your life you're taking for granted right now?
Connection,What's something you've never told someone but wish they knew?
Connection,When did someone make you feel truly seen — and what did they do?
Connection,What makes you feel most disconnected from the people around you?
Connection,If you could spend one uninterrupted day with anyone you love what would you do together?
Connection,What's a tradition you'd like to start with someone you care about?
Connection,Who in your life deserves a thank you they haven't gotten yet?
Connection,When was the last time you told someone how much they meant to you — unprompted?
Connection,What's a conversation you had years ago that you still think about?
Connection,Is there someone you've lost touch with whose absence you feel more than you admit?
Connection,What do the people who love you best understand about you that others miss?
Connection,What's something you always want to ask people but rarely feel comfortable enough to say?
Connection,What does it feel like to you when you're genuinely connected to another person?
Wild Cards,If you could go back and whisper one sentence in your own ear on the day you were born what would it be?
Wild Cards,What's the most creative solution to a problem you've ever come up with?
Wild Cards,If you found out the universe was a simulation what's the first thing you'd test?
Wild Cards,What conspiracy theory sounds absurd but you secretly think has at least a grain of something in it?
Wild Cards,If every choice you made became public record for one year what would you change about how you live?
Wild Cards,What's the most honest thing you could say about yourself right now?
Wild Cards,If your conscience were a separate person living with you what would they have been nagging you about lately?
Wild Cards,What do you think people misunderstand about happiness?
Wild Cards,If you could eliminate one cognitive bias from all of humanity which would you choose?
Wild Cards,What's one thing you believe that almost no one in your immediate circle agrees with?
Wild Cards,If you had to describe yourself using only geographic features what landscape would you be?
Wild Cards,What's the most valuable thing you've learned that can't be put in a resume?
Wild Cards,If you had to be defined by one paradox about yourself what would it be?
Wild Cards,What question do you hope no one ever asks you — and why?
Wild Cards,What would you do tomorrow if you woke up and decided to take your life completely seriously?
Perspective,What's something you once judged harshly in others that you now understand completely?
Perspective,Is there an experience that forced you to see the world differently overnight?
Perspective,What's a viewpoint you've changed not because someone argued you out of it but because you lived into a new understanding?
Perspective,When was the last time you were completely wrong about a person?
Perspective,What's a problem in your life that looks entirely different depending on who you ask?
Perspective,If you could see yourself through the eyes of someone who loves you what would you notice first?
Perspective,What does privilege mean to you and where do you see your own?
Perspective,What would you understand about the world that you currently don't if you had grown up somewhere entirely different?
Perspective,Is there a historical period whose perspective on life you find more compelling than the present?
Perspective,What's the most humbling experience you've ever had?
Perspective,What's something small that helped you understand something enormous?
Perspective,If you could have one conversation across the language barrier with someone from a completely different culture what would you want to know?
Perspective,What's a bias you've caught yourself carrying that you didn't choose to have?
Perspective,When did empathy cost you something — and was it worth it?
Perspective,What's the most important thing you've learned by listening instead of talking?
Time & Mortality,If you knew today was your last completely ordinary day how would you spend it?
Time & Mortality,What do you want to have done by the time you're old that you haven't started yet?
Time & Mortality,Is there someone in your life who won't be around forever that you need to spend more time with?
Time & Mortality,What would you stop doing immediately if time were running out?
Time & Mortality,What's a regret you're still manufacturing right now that future you will have to carry?
Time & Mortality,If you could live your life in reverse would you — starting with death and ending with birth?
Time & Mortality,What do you think about when you think about your own mortality?
Time & Mortality,Is there an experience you keep deferring because you assume you'll have more time?
Time & Mortality,What would it change about your daily choices if you fully believed you were finite?
Time & Mortality,Who in your life would be devastated if you were gone — and have you told them what they mean to you?
Time & Mortality,What part of yourself do you most want to pass on before you're gone?
Time & Mortality,What would make you feel like your time on Earth was genuinely well spent?
Time & Mortality,If your death could teach people something what would you want that lesson to be?
Time & Mortality,What would you make peace with if you knew you had one year left?
Time & Mortality,Is the pace at which you're living actually the one you'd choose if you stopped to think about it?
Work & Ambition,What work makes you lose track of time in the best possible way?
Work & Ambition,Is what you do for a living aligned with what you believe in?
Work & Ambition,What would you do professionally if fear weren't a factor?
Work & Ambition,What's the most valuable lesson you've learned from failure in your career?
Work & Ambition,Do you work to live or live to work — and are you happy with that answer?
Work & Ambition,What impact do you want your work to have that it isn't having yet?
Work & Ambition,Is there a version of success you chased and caught that turned out to be hollow?
Work & Ambition,What's something you built or contributed to that you're quietly proud of?
Work & Ambition,What would you tell someone just starting out in your field that no one told you?
Work & Ambition,Is there a professional risk you've been too afraid to take?
Work & Ambition,What does ambition feel like in your body — is it energizing or exhausting?
Work & Ambition,What's the most important skill you've developed that has nothing to do with your job title?
Work & Ambition,If you could mentor one person who would it be and what would you want them to learn?
Work & Ambition,What would you want written on your professional headstone?
Work & Ambition,When do you feel most competent and what does that feeling tell you about where to invest more of yourself?
Childhood & Origins,What did your childhood teach you about love that took years to unlearn or appreciate?
Childhood & Origins,What's a story about your family that explains a lot about who you are?
Childhood & Origins,What did you believe about the world as a child that turned out to be exactly right?
Childhood & Origins,What was the defining wound of your childhood — and how has it shaped you?
Childhood & Origins,Who was the first adult who made you feel capable and what did they see in you?
Childhood & Origins,What's a memory from childhood that feels more meaningful now than it did then?
Childhood & Origins,What did you promise yourself as a child that you've kept?
Childhood & Origins,What did you promise yourself as a child that you haven't kept — and do you still want to?
Childhood & Origins,What game did you play as a kid that tells you something true about who you are now?
Childhood & Origins,What do you wish your parents had done differently — and what do you think they got exactly right?
Childhood & Origins,Is there something about where you come from that you're still making peace with?
Childhood & Origins,What's the most important thing your childhood home taught you?
Childhood & Origins,What childhood version of you would still recognize itself in who you've become?
Childhood & Origins,What's a question you asked as a child that still doesn't have a good answer?
Childhood & Origins,What's something from your upbringing that you've deliberately carried forward — and one thing you've deliberately left behind?
Nature & Environment,When was the last time you felt genuinely small in a beautiful way in the presence of nature?
Nature & Environment,What relationship do you have with the natural world that you wish you developed more fully?
Nature & Environment,If you could spend a month completely off the grid would you — and what do you imagine you'd discover?
Nature & Environment,What does your current relationship with screens and technology cost you?
Nature & Environment,Is there a place on Earth that has felt like a second home to you — and what does that tell you about yourself?
Nature & Environment,What do you think the natural world would say to humans right now if it could speak?
Nature & Environment,How much of your life happens outdoors — and is that the ratio you'd choose?
Nature & Environment,When did nature ever genuinely humble or terrify or awe you?
Nature & Environment,What animal do you feel an inexplicable kinship with?
Nature & Environment,What would you notice about where you live if you slowed down enough to actually pay attention?
Nature & Environment,If you had to live without one modern convenience for a year which would you choose to give up?
Nature & Environment,What simple pleasure from the natural world gives you a disproportionate amount of joy?
Nature & Environment,What's something about the planet's future that you find genuinely frightening and how does it affect how you live?
Nature & Environment,If you could spend a year somewhere completely wild and remote where would you go?
Nature & Environment,What's the most beautiful natural thing you've ever seen that you'll never forget?
Books & Stories,What's the last book that made you see something about yourself you hadn't seen before?
Books & Stories,Is there a story that has functioned almost like scripture for you — something you return to for guidance?
Books & Stories,What's a character from fiction you understand better the older you get?
Books & Stories,If your life were a novel what genre would it be — and what genre do you wish it were?
Books & Stories,What book do you wish you could read for the first time again?
Books & Stories,What story have you told about yourself for years that you're starting to wonder if it's still true?
Books & Stories,Is there a book you've pretended to read or pretended to understand that you've never been honest about?
Books & Stories,What would your autobiography be called and what would the opening line be?
Books & Stories,What kind of ending do you want for your own story?
Books & Stories,If you could rewrite one chapter of your life like a novelist editing a draft what would you change?
Books & Stories,What's a story you've witnessed in real life that you think should be a book?
Books & Stories,Which fictional world would you least want to live in?
Books & Stories,What's a piece of writing that made you cry — and what specifically broke you open?
Books & Stories,What story about your life do you tell that you know leaves out the most important part?
Books & Stories,If you could only leave behind one piece of writing for future generations what would you write?
Happiness & Fulfillment,What does happiness actually feel like in your body when it's real?
Happiness & Fulfillment,Is there a version of your life that would make you happier that you're not letting yourself have?
Happiness & Fulfillment,What are you grateful for today that you almost never think to appreciate?
Happiness & Fulfillment,What does a truly good day look like for you — not a perfect one just a genuinely good one?
Happiness & Fulfillment,What brings you joy that you feel slightly embarrassed about?
Happiness & Fulfillment,Is there something you've been chasing as a source of happiness that you suspect won't actually deliver?
Happiness & Fulfillment,When did something simple make you disproportionately happy recently?
Happiness & Fulfillment,What would you need to let go of to feel more at peace?
Happiness & Fulfillment,What does contentment feel like to you — is it something you've experienced and can recognize?
Happiness & Fulfillment,Is there a joy in your life that you've been neglecting in favor of productivity?
Happiness & Fulfillment,What's one thing you could do this week that would make your life meaningfully better?
Happiness & Fulfillment,What makes you laugh so hard that your body hurts — and how often do you let that happen?
Happiness & Fulfillment,Is there something you've been waiting to enjoy until conditions are right that you could enjoy right now?
Happiness & Fulfillment,What's the most you've ever felt truly at peace — where were you and what was happening?
Happiness & Fulfillment,What would have to be true about your life for you to feel like it was enough?
Technology & Modern Life,Has a piece of technology ever genuinely changed who you are as a person?
Technology & Modern Life,What part of your life would be better if you put your phone down more?
Technology & Modern Life,If you could only use three apps for the rest of your life which would they be?
Technology & Modern Life,What do you think we're losing as a species as we become more connected digitally?
Technology & Modern Life,What do you think we're gaining?
Technology & Modern Life,Is there a way technology has made you less capable that you'd rather not admit?
Technology & Modern Life,What's the most useful thing technology has ever done for your relationships?
Technology & Modern Life,What's the most damaging thing technology has done to your relationships?
Technology & Modern Life,If social media disappeared overnight what would you mourn — and what would you celebrate?
Technology & Modern Life,Do you think artificial intelligence will make human connection more or less rare and precious?
Technology & Modern Life,What's a skill you used to have that technology has made unnecessary — and do you miss using it?
Technology & Modern Life,What's a piece of technology you feel genuine affection for?
Technology & Modern Life,Is there a moment in your life you wish hadn't been photographed or filmed?
Technology & Modern Life,What's the best and worst thing about being reachable at all times?
Technology & Modern Life,What would your relationship with yourself look like without constant digital distraction?
Courage & Risk,What's the boldest thing you've ever done and what made you finally do it?
Courage & Risk,What's a risk you didn't take that you still think about?
Courage & Risk,What does courage feel like in your body in the moment before you act on it?
Courage & Risk,Is there something in your life right now that requires courage that you haven't yet summoned?
Courage & Risk,What's the most afraid you've ever been — not of danger but of being truly seen?
Courage & Risk,What would you do if you stopped waiting to feel ready?
Courage & Risk,When did someone's courage inspire you to do something you wouldn't have done otherwise?
Courage & Risk,What's a line you've been afraid to cross that on reflection you probably should cross?
Courage & Risk,What do you tell yourself when fear is stopping you — and does it work?
Courage & Risk,Is there a version of your life that requires you to be braver than you currently are?
Courage & Risk,What's a hard conversation you've been circling around for too long?
Courage & Risk,What would it look like to be fully courageous in your most important relationship right now?
Courage & Risk,What have you been brave about that no one ever knew or recognized?
Courage & Risk,What does it mean to you to fail bravely versus safely succeeding?
Courage & Risk,What's something worth fighting for that you've stopped fighting for?
Body & Health,What does your body tell you that your mind refuses to hear?
Body & Health,When did your health become something you take seriously — or is that moment still ahead of you?
Body & Health,What's one thing you do consistently that your body clearly loves?
Body & Health,What's a physical sensation — not pain but pleasure — that you don't let yourself enjoy often enough?
Body & Health,What would you do differently if you genuinely treated your body as something sacred?
Body & Health,What has illness or injury ever taught you about what actually matters?
Body & Health,How does your emotional state show up in your body before you consciously recognize it?
Body & Health,What's the most in sync you've ever felt with your own physical self?
Body & Health,Is there a body-related habit you know you need to change but keep negotiating with yourself about?
Body & Health,What does rest actually mean to you — not sleep but genuine restoration?
Spirituality & Mystery,Do you believe in something larger than yourself — and what does that belief require of you?
Spirituality & Mystery,What's the most mysterious experience you've had that you can't fully explain?
Spirituality & Mystery,Is there a practice — prayer meditation ritual or something else — that makes you feel connected to something beyond everyday life?
Spirituality & Mystery,What do you think happens to consciousness after the brain stops?
Spirituality & Mystery,Have you ever had a moment of genuine grace — something that felt like more than luck?
Spirituality & Mystery,What's the most profound silence you've ever experienced?
Spirituality & Mystery,Is there something you feel pulled toward that defies rational explanation?
Spirituality & Mystery,What mystery about existence do you find yourself thinking about most?
Spirituality & Mystery,What would you need to believe in order to feel at peace with the unknown?
Spirituality & Mystery,When do you feel closest to whatever you consider holy or sacred?
Power & Influence,Who has had the most influence over your values — and did they earn that influence?
Power & Influence,What's something you've said or done that affected someone more than you realized?
Power & Influence,How do you use whatever platform or influence you have — and is that how you'd want to be remembered?
Power & Influence,Is there power you've been given that you haven't fully taken responsibility for?
Power & Influence,What's the most important thing you've changed your mind about because of someone who challenged your thinking?
