topic,A day on the International Space Station lasts about 90 minutes (one orbit).
topic,Humans share about 50 % of their DNA with mushrooms.

topic,A teaspoonful of neutron star material weighs about a billion tons.
topic,Crows can recognize and remember individual human faces for years.
topic,The tongue is the only muscle in the human body attached at only one end.
topic,Lobsters were once so plentiful they were fed to prisoners as cheap food.
topic,Nintendo was founded in 1889 as a playing card company.
topic,Cats cannot taste sweetness—they lack the taste receptors for it.
topic,A flock of crows is called a murder.
topic,Lightning strikes Earth about 8 million times per day.
topic,Woolly mammoths were still alive when the Great Pyramid was being built.
topic,The average person walks about 100000 miles in their lifetime—four times around Earth.
topic,Honey bees can flap their wings 200 times per second.
topic,Oxford University is older than the Aztec Empire.
topic,The Eiffel Tower was originally intended to be demolished after 20 years.
topic,Sharks have been on Earth for longer than the rings of Saturn have existed.
topic,There are more possible chess games than atoms in the observable universe.
topic,Penguins propose to their mates with a pebble.
topic,Clams can live over 500 years; the oldest known was 507 years old.
topic,Elephants are the only large animals that cannot jump.
topic,A group of pugs is called a grumble.
topic,Squirrels forget where they bury about half their nuts—accidentally planting trees.
topic,The Romans used crushed mouse brains as toothpaste.
topic,A day on Pluto lasts about 6.4 Earth days.
topic,Trees communicate and share nutrients through underground fungal networks.
topic,There are more ways to arrange a deck of 52 cards than there are atoms on Earth.
topic,The human brain generates about 70000 thoughts per day.
topic,When helium is cooled near absolute zero it can crawl up and out of its container.
topic,All clownfish are born male; the dominant one changes to female when needed.
topic,Crocodiles cannot stick out their tongues.
topic,A group of jellyfish is called a smack.
topic,The surface area of a human lung is roughly the size of a tennis court.
topic,Ancient Egyptians used slabs of stone as pillows.
topic,The color orange was named after the fruit—not the other way around.
topic,Ants never sleep—they take hundreds of tiny power naps instead.
topic,Wolves can hear sounds up to 10 miles away in open terrain.
topic,The Hawaiian alphabet has only 13 letters.
topic,A day on Mars is 24 hours and 37 minutes—almost identical to Earth.
topic,The first email sent in 1971 contained the message QWERTYUIOP.
topic,Pigs can get sunburned and will voluntarily seek shade.
topic,The human eye can see a candle flame from 1.7 miles away in total darkness.
topic,Baby elephants suck their trunks for comfort the same way babies suck their thumbs.
topic,Octopuses have no bones but can open child-proof medicine bottles.
topic,The Sahara Desert gets snow several times per decade.
topic,A blue whale's tongue weighs as much as an entire elephant.
topic,Starfish have no brains or blood—they use seawater to pump nutrients.
topic,The lighter was invented before the match.
topic,There are more trees on Earth than stars in the Milky Way galaxy.
topic,The first computer bug was a real bug—a moth found inside a relay in 1947.
topic,The world's quietest room is so silent people begin hearing their own heartbeat.
topic,Apples float in water because they are 25 percent air.
topic,The human nose is always in your field of vision—your brain simply filters it out.
topic,A shrimp's heart is located in its head.
topic,Crows hold grudges and pass warnings about dangerous humans to their offspring.
topic,A day on the Moon lasts about 29.5 Earth days.
topic,Tigers have striped skin—not just striped fur.
topic,Pigeons can pass the mirror self-recognition test—one of very few non-primate species to do so.
topic,The T. rex and Stegosaurus were separated by more time than T. rex and humans are today.
topic,Flamingos are born white and turn pink from eating carotenoid-rich shrimp and algae.
topic,Cats have 32 muscles in each ear allowing them to rotate 180 degrees independently.
topic,The first text message ever sent said Merry Christmas in December 1992.
topic,Goats have rectangular pupils that give them a 320-degree field of view.
topic,Mantis shrimp can punch with the force of a bullet from a .22 caliber rifle.
topic,The largest organism on Earth is a honey fungus in Oregon measuring 2.4 miles across.
topic,Sea cucumbers breathe through their rear ends and can eject their organs as a defense.
topic,Bats are the only mammals capable of true sustained flight.
topic,The platypus has no stomach—food passes directly from the esophagus to the intestines.
topic,You cannot hum while holding your nose closed.
topic,Polar bear fur is not white—it is clear and hollow and scatters light to appear white.
topic,Hummingbirds are the only birds that can fly backward.
topic,Sharks have no bones—their skeletons are made entirely of cartilage.
topic,Cheese is the most stolen food in the world—about 4 percent of global production is stolen.
topic,Water can boil and freeze simultaneously under the right pressure conditions—called the triple point.
topic,Cows moo in regional accents influenced by the herd they were raised in.
topic,The smell of rain has a name: petrichor.
topic,An ostrich's eye is bigger than its brain.
topic,Chameleons change color primarily to communicate mood—not for camouflage.
topic,Every atom in your body was forged inside a star that exploded before our solar system formed.
topic,A group of cats is called a clowder.
topic,Honey badgers have been documented using self-made tools to escape enclosures.
topic,Cleopatra lived closer in time to the Moon landing than to the construction of the Great Pyramid.
topic,The shortest war in recorded history lasted about 40 minutes between Britain and Zanzibar in 1896.
topic,There is a species of jellyfish—Turritopsis dohrnii—that can revert to its juvenile state indefinitely.
topic,An average person spends roughly six months of their life waiting at red traffic lights.
topic,Every two minutes humans take as many photos as were taken in the entire 19th century.
topic,The word trivia comes from the Latin for the junction of three roads where people gathered to gossip.
topic,Mantis shrimp can see 16 types of color receptors compared to humans three.
topic,The smell of freshly cut grass is a plant sending out a chemical distress signal.
topic,Bubble wrap was originally invented and marketed as textured wallpaper.
topic,A group of flamingos is called a flamboyance.
topic,The average human body contains enough carbon to make about 9000 pencils.
topic,Honey never expires—samples found in 3000-year-old Egyptian tombs are still edible.
topic,A snail can glide over a razor blade without being cut thanks to its mucus.
topic,Peanut butter can be turned into diamonds under extreme pressure.
topic,The inventor of the Frisbee requested that his ashes be turned into a Frisbee after death.
topic,A bolt of lightning is about five times hotter than the surface of the sun.
topic,Giraffes have no vocal cords yet they communicate by humming at night.
topic,The fingerprints of a koala are so similar to human fingerprints they have confused crime scenes.
topic,A single strand of spider silk is stronger than steel of the same thickness.
topic,Cleopatra wore perfume containing rotten crocodile fat.
topic,The average human produces about 25000 quarts of saliva over a lifetime.
topic,Cats have a third eyelid called a nictitating membrane that closes from side to side.
topic,Some cats are allergic to humans.
topic,A group of ravens is called an unkindness or a conspiracy.
topic,The moon is drifting away from Earth at about 1.5 inches per year.
